		D. Trump	T. Cruz	M. Rubio	B. Carson	J. Kasich	J. Bush	M. Huckabee	R. Paul	C. Christie	C. Fiorina	R. Santorum	L. Graham	Uncommitted
	Lanier County	0.569	0.218	0.123	0.056	0.027	0.004	0	0.001	0.001	0	0	0.001	#N/A
	Laurens County	0.444	0.224	0.184	0.101	0.033	0.007	0.002	0.001	0.001	0	0.001	0.001	#N/A
	Lee County	0.513	0.239	0.139	0.065	0.031	0.007	0.003	0.002	0.001	0.001	0	0	#N/A
	Liberty County	0.458	0.222	0.194	0.066	0.044	0.009	0.001	0.003	0.001	0.001	0	0.001	#N/A
	Lincoln County	0.442	0.307	0.157	0.07	0.013	0.007	0.001	0	0.002	0.001	0.001	0.001	#N/A
	Long County	0.553	0.217	0.124	0.069	0.017	0.011	0.002	0.003	0.002	0	0.001	0.001	#N/A
	Lowndes County	0.442	0.266	0.168	0.08	0.033	0.006	0.002	0.001	0.001	0.001	0	0	#N/A
	Lumpkin County	0.416	0.279	0.174	0.069	0.051	0.004	0.002	0.003	0.001	0.001	0	0	#N/A
	Macon County	0.504	0.197	0.164	0.083	0.034	0.011	0.001	0.002	0.004	0	0	0	#N/A
	Madison County	0.445	0.286	0.154	0.072	0.027	0.008	0.003	0.003	0.001	0.001	0	0	#N/A
	Marion County	0.536	0.259	0.108	0.062	0.017	0.007	0.006	0.002	0	0	0.001	0.002	#N/A
	Mcduffie County	0.407	0.33	0.159	0.064	0.028	0.008	0.002	0.001	0	0.001	0.001	0	#N/A
	Mcintosh County	0.54	0.187	0.15	0.053	0.048	0.013	0.005	0.002	0.003	0	0	0.001	#N/A
